Дата,Начало рассвета,Восход,Заход,Наступление темноты,Долгота дня,Продолжительность ночи,Разница
2022-01-01,08:16,09:01,16:21,17:05,07:20,15:12,00:01
2022-01-02,08:16,09:00,16:22,17:06,07:22,15:11,00:02
2022-01-03,08:16,09:00,16:23,17:07,07:23,15:10,00:01
2022-01-04,08:16,09:00,16:24,17:08,07:24,15:09,00:01
2022-01-05,08:15,09:00,16:25,17:10,07:25,15:07,00:01
2022-01-06,08:15,08:59,16:27,17:11,07:28,15:05,00:03
2022-01-07,08:15,08:59,16:28,17:12,07:29,15:04,00:01
2022-01-08,08:14,08:58,16:30,17:13,07:32,15:02,00:03
2022-01-09,08:14,08:57,16:31,17:15,07:34,15:01,00:02
2022-01-10,08:13,08:57,16:33,17:16,07:36,14:58,00:02
2022-01-11,08:13,08:56,16:34,17:17,07:38,14:57,00:02
2022-01-12,08:12,08:55,16:36,17:19,07:41,14:55,00:03
2022-01-13,08:12,08:54,16:37,17:20,07:43,14:53,00:02
2022-01-14,08:11,08:53,16:39,17:22,07:46,14:51,00:03
2022-01-15,08:10,08:52,16:41,17:23,07:49,14:48,00:03
2022-01-16,08:09,08:52,16:43,17:25,07:51,14:46,00:02
2022-01-17,08:08,08:51,16:44,17:27,07:53,14:43,00:02
2022-01-18,08:07,08:49,16:46,17:28,07:57,14:40,00:04
2022-01-19,08:06,08:48,16:48,17:30,08:00,14:38,00:03
2022-01-20,08:05,08:47,16:50,17:32,08:03,14:35,00:03
2022-01-21,08:04,08:46,16:52,17:33,08:06,14:32,00:03
2022-01-22,08:03,08:44,16:54,17:35,08:10,14:30,00:04
2022-01-23,08:02,08:43,16:55,17:37,08:12,14:27,00:02
2022-01-24,08:01,08:42,16:57,17:38,08:15,14:24,00:03
2022-01-25,07:59,08:40,16:59,17:40,08:19,14:21,00:04
2022-01-26,07:58,08:39,17:01,17:42,08:22,14:18,00:03
2022-01-27,07:57,08:37,17:03,17:44,08:26,14:15,00:04
2022-01-28,07:55,08:36,17:06,17:46,08:30,14:11,00:04
2022-01-29,07:54,08:34,17:07,17:47,08:33,14:08,00:03
2022-01-30,07:52,08:32,17:09,17:49,08:37,14:05,00:04
2022-01-31,07:51,08:31,17:11,17:51,08:40,14:02,00:03
2022-02-01,07:49,08:29,17:13,17:53,08:44,13:58,00:04
2022-02-02,07:48,08:27,17:16,17:55,08:49,13:55,00:05
2022-02-03,07:46,08:25,17:18,17:57,08:53,13:51,00:04
2022-02-04,07:44,08:23,17:20,17:59,08:57,13:47,00:04
2022-02-05,07:43,08:22,17:22,18:01,09:00,13:44,00:03
2022-02-06,07:41,08:20,17:24,18:03,09:04,13:40,00:04
2022-02-07,07:39,08:18,17:26,18:04,09:08,13:36,00:04
2022-02-08,07:38,08:16,17:28,18:06,09:12,13:34,00:04
2022-02-09,07:36,08:14,17:30,18:08,09:16,13:30,00:04
2022-02-10,07:34,08:12,17:32,18:10,09:20,13:26,00:04
2022-02-11,07:32,08:10,17:34,18:12,09:24,13:22,00:04
2022-02-12,07:30,08:08,17:36,18:14,09:28,13:18,00:04
2022-02-13,07:28,08:06,17:38,18:16,09:32,13:14,00:04
2022-02-14,07:26,08:04,17:40,18:18,09:36,13:10,00:04
2022-02-15,07:24,08:02,17:43,18:20,09:41,13:06,00:05
2022-02-16,07:22,07:59,17:45,18:22,09:46,13:02,00:05
2022-02-17,07:20,07:57,17:47,18:24,09:50,12:58,00:04
2022-02-18,07:18,07:55,17:49,18:26,09:54,12:54,00:04
2022-02-19,07:16,07:53,17:51,18:28,09:58,12:50,00:04
2022-02-20,07:14,07:51,17:53,18:30,10:02,12:46,00:04
2022-02-21,07:12,07:48,17:55,18:32,10:07,12:42,00:05
2022-02-22,07:09,07:46,17:57,18:34,10:11,12:37,00:04
2022-02-23,07:07,07:44,17:59,18:36,10:15,12:33,00:04
2022-02-24,07:05,07:41,18:01,18:38,10:20,12:29,00:05
2022-02-25,07:03,07:39,18:03,18:40,10:24,12:25,00:04
2022-02-26,07:00,07:37,18:05,18:42,10:28,12:20,00:04
2022-02-27,06:58,07:34,18:07,18:44,10:33,12:16,00:05
2022-02-28,06:56,07:32,18:09,18:46,10:37,12:12,00:04
2022-03-01,06:54,07:30,18:11,18:47,10:41,12:08,00:04
2022-03-02,06:51,07:27,18:13,18:49,10:46,12:04,00:05
2022-03-03,06:49,07:25,18:15,18:51,10:50,12:00,00:04
2022-03-04,06:47,07:22,18:17,18:53,10:55,11:56,00:05
2022-03-05,06:44,07:20,18:19,18:55,10:59,11:51,00:04
2022-03-06,06:42,07:18,18:21,18:57,11:03,11:47,00:04
2022-03-07,06:39,07:15,18:23,18:59,11:08,11:42,00:05
2022-03-08,06:37,07:13,18:25,19:01,11:12,11:38,00:04
2022-03-09,06:34,07:10,18:27,19:03,11:17,11:33,00:05
2022-03-10,06:32,07:08,18:29,19:05,11:21,11:29,00:04
2022-03-11,06:30,07:05,18:31,19:07,11:26,11:25,00:05
2022-03-12,06:27,07:03,18:33,19:09,11:30,11:20,00:04
2022-03-13,06:25,07:00,18:35,19:11,11:35,11:16,00:05
2022-03-14,06:22,06:58,18:37,19:13,11:39,11:11,00:04
2022-03-15,06:20,06:55,18:39,19:15,11:44,11:07,00:05
2022-03-16,06:17,06:53,18:41,19:17,11:48,11:02,00:04
2022-03-17,06:15,06:50,18:43,19:19,11:53,10:58,00:05
2022-03-18,06:12,06:48,18:45,19:21,11:57,10:53,00:04
2022-03-19,06:09,06:45,18:47,19:23,12:02,10:48,00:05
2022-03-20,06:07,06:43,18:49,19:25,12:06,10:44,00:04
2022-03-21,06:04,06:40,18:51,19:27,12:10,10:39,00:04
2022-03-22,06:02,06:38,18:53,19:29,12:15,10:35,00:04
2022-03-23,05:59,06:35,18:55,19:31,12:20,10:30,00:05
2022-03-24,05:57,06:33,18:57,19:33,12:24,10:26,00:04
2022-03-25,05:54,06:30,18:59,19:35,12:29,10:21,00:05
2022-03-26,05:52,06:27,19:01,19:37,12:34,10:17,00:05
2022-03-27,05:49,06:25,19:02,19:39,12:37,10:12,00:03
2022-03-28,05:46,06:22,19:04,19:41,12:42,10:07,00:05
2022-03-29,05:44,06:20,19:06,19:43,12:46,10:03,00:04
2022-03-30,05:41,06:17,19:08,19:45,12:51,09:58,00:05
2022-03-31,05:39,06:15,19:10,19:47,12:55,09:54,00:04
2022-04-01,05:36,06:12,19:12,19:49,13:00,09:49,00:05
2022-04-02,05:33,06:10,19:14,19:51,13:04,09:44,00:04
2022-04-03,05:31,06:07,19:16,19:53,13:09,09:40,00:05
2022-04-04,05:28,06:05,19:18,19:55,13:13,09:35,00:04
2022-04-05,05:25,06:02,19:20,19:57,13:18,09:30,00:05
2022-04-06,05:23,06:00,19:22,19:59,13:22,09:26,00:04
2022-04-07,05:20,05:57,19:24,20:01,13:27,09:21,00:05
2022-04-08,05:18,05:55,19:26,20:03,13:31,09:17,00:04
2022-04-09,05:15,05:52,19:28,20:05,13:36,09:12,00:05
2022-04-10,05:12,05:50,19:29,20:07,13:39,09:07,00:03
2022-04-11,05:10,05:47,19:31,20:09,13:44,09:03,00:05
2022-04-12,05:07,05:45,19:33,20:11,13:48,08:58,00:04
2022-04-13,05:05,05:43,19:35,20:13,13:52,08:54,00:04
2022-04-14,05:02,05:40,19:37,20:16,13:57,08:49,00:05
2022-04-15,04:59,05:38,19:39,20:18,14:01,08:43,00:04
2022-04-16,04:57,05:35,19:41,20:20,14:06,08:39,00:05
2022-04-17,04:54,05:33,19:43,20:22,14:10,08:34,00:04
2022-04-18,04:52,05:30,19:45,20:24,14:15,08:30,00:05
2022-04-19,04:49,05:28,19:47,20:26,14:19,08:25,00:04
2022-04-20,04:46,05:26,19:49,20:28,14:23,08:20,00:04
2022-04-21,04:44,05:23,19:51,20:30,14:28,08:16,00:05
2022-04-22,04:41,05:21,19:53,20:33,14:32,08:11,00:04
2022-04-23,04:39,05:19,19:55,20:35,14:36,08:06,00:04
2022-04-24,04:36,05:16,19:56,20:37,14:40,08:01,00:04
2022-04-25,04:34,05:14,19:58,20:39,14:44,07:57,00:04
2022-04-26,04:31,05:12,20:00,20:41,14:48,07:52,00:04
2022-04-27,04:29,05:10,20:02,20:43,14:52,07:48,00:04
2022-04-28,04:26,05:07,20:04,20:46,14:57,07:43,00:05
2022-04-29,04:24,05:05,20:06,20:48,15:01,07:38,00:04
2022-04-30,04:21,05:03,20:08,20:50,15:05,07:33,00:04
2022-05-01,04:19,05:01,20:10,20:52,15:09,07:29,00:04
2022-05-02,04:16,04:59,20:12,20:54,15:13,07:24,00:04
2022-05-03,04:14,04:57,20:14,20:56,15:17,07:20,00:04
2022-05-04,04:12,04:55,20:15,20:59,15:20,07:16,00:03
2022-05-05,04:09,04:52,20:17,21:01,15:25,07:10,00:05
2022-05-06,04:07,04:50,20:19,21:03,15:29,07:06,00:04
2022-05-07,04:05,04:48,20:21,21:05,15:33,07:02,00:04
2022-05-08,04:02,04:46,20:23,21:07,15:37,06:57,00:04
2022-05-09,04:00,04:44,20:25,21:10,15:41,06:53,00:04
2022-05-10,03:58,04:42,20:27,21:12,15:45,06:48,00:04
2022-05-11,03:55,04:41,20:29,21:14,15:48,06:43,00:03
2022-05-12,03:53,04:39,20:30,21:16,15:51,06:39,00:03
2022-05-13,03:51,04:37,20:32,21:18,15:55,06:35,00:04
2022-05-14,03:49,04:35,20:34,21:20,15:59,06:31,00:04
2022-05-15,03:47,04:33,20:36,21:23,16:03,06:27,00:04
2022-05-16,03:45,04:31,20:37,21:25,16:06,06:22,00:03
2022-05-17,03:42,04:30,20:39,21:27,16:09,06:17,00:03
2022-05-18,03:40,04:28,20:41,21:29,16:13,06:13,00:04
2022-05-19,03:38,04:26,20:43,21:31,16:17,06:09,00:04
2022-05-20,03:36,04:25,20:44,21:33,16:19,06:05,00:02
2022-05-21,03:34,04:23,20:46,21:35,16:23,06:01,00:04
2022-05-22,03:33,04:22,20:47,21:37,16:25,05:58,00:02
2022-05-23,03:31,04:20,20:49,21:39,16:29,05:54,00:04
2022-05-24,03:29,04:19,20:51,21:41,16:32,05:50,00:03
2022-05-25,03:27,04:17,20:52,21:43,16:35,05:46,00:03
2022-05-26,03:25,04:16,20:54,21:45,16:38,05:42,00:03
2022-05-27,03:24,04:15,20:55,21:47,16:40,05:39,00:02
2022-05-28,03:22,04:13,20:57,21:48,16:44,05:35,00:04
2022-05-29,03:21,04:12,20:58,21:50,16:46,05:33,00:02
2022-05-30,03:19,04:11,21:00,21:52,16:49,05:29,00:03
2022-05-31,03:18,04:10,21:01,21:54,16:51,05:26,00:02
2022-06-01,03:16,04:09,21:02,21:55,16:53,05:22,00:02
2022-06-02,03:15,04:08,21:03,21:57,16:55,05:20,00:02
2022-06-03,03:14,04:07,21:05,21:58,16:58,05:17,00:03
2022-06-04,03:12,04:06,21:06,22:00,17:00,05:14,00:02
2022-06-05,03:11,04:05,21:07,22:01,17:02,05:11,00:02
2022-06-06,03:10,04:04,21:08,22:03,17:04,05:09,00:02
2022-06-07,03:09,04:04,21:09,22:04,17:05,05:06,00:01
2022-06-08,03:08,04:03,21:10,22:05,17:07,05:04,00:02
2022-06-09,03:07,04:02,21:11,22:07,17:09,05:02,00:02
2022-06-10,03:06,04:02,21:12,22:08,17:10,04:59,00:01
2022-06-11,03:06,04:01,21:13,22:09,17:12,04:58,00:02
2022-06-12,03:05,04:01,21:14,22:10,17:13,04:56,00:01
2022-06-13,03:04,04:00,21:15,22:11,17:15,04:54,00:02
2022-06-14,03:04,04:00,21:15,22:12,17:15,04:53,00:00
2022-06-15,03:03,04:00,21:16,22:12,17:16,04:51,00:01
2022-06-16,03:03,04:00,21:16,22:13,17:16,04:51,00:00
2022-06-17,03:03,04:00,21:17,22:14,17:17,04:50,00:01
2022-06-18,03:03,04:00,21:17,22:14,17:17,04:49,00:00
2022-06-19,03:03,04:00,21:18,22:15,17:18,04:49,00:01
2022-06-20,03:03,04:00,21:18,22:15,17:18,04:48,00:00
2022-06-21,03:03,04:00,21:18,22:15,17:18,04:48,00:00
2022-06-22,03:03,04:00,21:19,22:16,17:19,04:48,00:01
2022-06-23,03:03,04:00,21:19,22:16,17:19,04:47,00:00
2022-06-24,03:03,04:00,21:19,22:16,17:19,04:47,00:00
2022-06-25,03:04,04:01,21:19,22:16,17:18,04:48,-00:01
2022-06-26,03:04,04:01,21:19,22:16,17:18,04:48,00:00
2022-06-27,03:05,04:02,21:19,22:16,17:17,04:49,-00:01
2022-06-28,03:05,04:02,21:19,22:15,17:17,04:49,00:00
2022-06-29,03:06,04:03,21:18,22:15,17:15,04:51,-00:02
2022-06-30,03:07,04:03,21:18,22:14,17:15,04:52,00:00
2022-07-01,03:08,04:04,21:18,22:14,17:14,04:54,-00:01
2022-07-02,03:09,04:05,21:17,22:13,17:12,04:55,-00:02
2022-07-03,03:10,04:05,21:17,22:13,17:12,04:57,00:00
2022-07-04,03:11,04:07,21:16,22:12,17:09,04:58,-00:03
2022-07-05,03:12,04:08,21:16,22:11,17:08,05:00,-00:01
2022-07-06,03:13,04:08,21:15,22:10,17:07,05:02,-00:01
2022-07-07,03:14,04:09,21:15,22:09,17:06,05:04,-00:01
2022-07-08,03:16,04:10,21:14,22:08,17:04,05:07,-00:02
2022-07-09,03:17,04:11,21:13,22:07,17:02,05:09,-00:02
2022-07-10,03:18,04:13,21:12,22:06,16:59,05:11,-00:03
2022-07-11,03:20,04:14,21:11,22:05,16:57,05:14,-00:02
2022-07-12,03:21,04:15,21:10,22:03,16:55,05:16,-00:02
2022-07-13,03:23,04:16,21:09,22:02,16:53,05:20,-00:02
2022-07-14,03:25,04:17,21:08,22:00,16:51,05:23,-00:02
2022-07-15,03:26,04:19,21:07,21:59,16:48,05:26,-00:03
2022-07-16,03:28,04:20,21:06,21:58,16:46,05:29,-00:02
2022-07-17,03:30,04:21,21:05,21:56,16:44,05:32,-00:02
2022-07-18,03:32,04:23,21:03,21:54,16:40,05:36,-00:04
2022-07-19,03:33,04:25,21:02,21:53,16:37,05:39,-00:03
2022-07-20,03:35,04:26,21:01,21:51,16:35,05:42,-00:02
2022-07-21,03:37,04:27,20:59,21:49,16:32,05:46,-00:03
2022-07-22,03:39,04:29,20:58,21:47,16:29,05:50,-00:03
2022-07-23,03:41,04:30,20:56,21:45,16:26,05:54,-00:03
2022-07-24,03:43,04:32,20:55,21:43,16:23,05:58,-00:03
2022-07-25,03:45,04:34,20:53,21:42,16:19,06:02,-00:04
2022-07-26,03:47,04:35,20:51,21:40,16:16,06:05,-00:03
2022-07-27,03:49,04:37,20:50,21:38,16:13,06:09,-00:03
2022-07-28,03:51,04:39,20:48,21:35,16:09,06:13,-00:04
2022-07-29,03:53,04:40,20:46,21:33,16:06,06:18,-00:03
2022-07-30,03:55,04:42,20:45,21:31,16:03,06:22,-00:03
2022-07-31,03:57,04:44,20:43,21:29,15:59,06:26,-00:04
2022-08-01,03:59,04:45,20:41,21:27,15:56,06:30,-00:03
2022-08-02,04:01,04:47,20:39,21:25,15:52,06:34,-00:04
2022-08-03,04:03,04:49,20:37,21:22,15:48,06:38,-00:04
2022-08-04,04:06,04:51,20:35,21:20,15:44,06:44,-00:04
2022-08-05,04:08,04:52,20:33,21:18,15:41,06:48,-00:03
2022-08-06,04:10,04:54,20:31,21:16,15:37,06:52,-00:04
2022-08-07,04:12,04:56,20:29,21:13,15:33,06:56,-00:04
2022-08-08,04:14,04:58,20:27,21:11,15:29,07:01,-00:04
2022-08-09,04:16,05:00,20:25,21:09,15:25,07:05,-00:04
2022-08-10,04:18,05:01,20:23,21:06,15:22,07:09,-00:03
2022-08-11,04:20,05:03,20:21,21:04,15:18,07:14,-00:04
2022-08-12,04:22,05:05,20:19,21:01,15:14,07:18,-00:04
2022-08-13,04:25,05:07,20:17,20:59,15:10,07:24,-00:04
2022-08-14,04:27,05:09,20:15,20:56,15:06,07:28,-00:04
2022-08-15,04:29,05:11,20:12,20:54,15:01,07:33,-00:05
2022-08-16,04:31,05:13,20:10,20:51,14:57,07:37,-00:04
2022-08-17,04:33,05:14,20:08,20:49,14:54,07:42,-00:03
2022-08-18,04:35,05:16,20:06,20:46,14:50,07:46,-00:04
2022-08-19,04:37,05:18,20:03,20:44,14:45,07:51,-00:05
2022-08-20,04:39,05:20,20:01,20:41,14:41,07:55,-00:04
2022-08-21,04:41,05:22,19:59,20:39,14:37,08:00,-00:04
2022-08-22,04:44,05:24,19:56,20:36,14:32,08:05,-00:05
2022-08-23,04:46,05:25,19:54,20:34,14:29,08:10,-00:03
2022-08-24,04:48,05:27,19:52,20:31,14:25,08:14,-00:04
2022-08-25,04:50,05:29,19:49,20:28,14:20,08:19,-00:05
2022-08-26,04:52,05:31,19:47,20:26,14:16,08:24,-00:04
2022-08-27,04:54,05:33,19:45,20:23,14:12,08:28,-00:04
2022-08-28,04:56,05:35,19:42,20:21,14:07,08:33,-00:05
2022-08-29,04:58,05:36,19:40,20:18,14:04,08:37,-00:03
2022-08-30,05:00,05:38,19:37,20:15,13:59,08:42,-00:05
2022-08-31,05:02,05:40,19:35,20:13,13:55,08:47,-00:04
2022-09-01,05:04,05:42,19:32,20:10,13:50,08:51,-00:05
2022-09-02,05:06,05:44,19:30,20:08,13:46,08:56,-00:04
2022-09-03,05:08,05:46,19:27,20:05,13:41,09:00,-00:05
2022-09-04,05:10,05:48,19:25,20:02,13:37,09:05,-00:04
2022-09-05,05:12,05:49,19:22,20:00,13:33,09:10,-00:04
2022-09-06,05:14,05:51,19:20,19:57,13:29,09:14,-00:04
2022-09-07,05:16,05:53,19:17,19:54,13:24,09:19,-00:05
2022-09-08,05:18,05:55,19:15,19:52,13:20,09:24,-00:04
2022-09-09,05:20,05:57,19:12,19:49,13:15,09:28,-00:05
2022-09-10,05:22,05:59,19:10,19:47,13:11,09:33,-00:04
2022-09-11,05:24,06:00,19:07,19:44,13:07,09:37,-00:04
2022-09-12,05:26,06:02,19:05,19:41,13:03,09:42,-00:04
2022-09-13,05:28,06:04,19:02,19:39,12:58,09:47,-00:05
2022-09-14,05:29,06:06,19:00,19:36,12:54,09:50,-00:04
2022-09-15,05:31,06:08,18:57,19:33,12:49,09:55,-00:05
2022-09-16,05:33,06:10,18:55,19:31,12:45,10:00,-00:04
2022-09-17,05:35,06:11,18:52,19:28,12:41,10:04,-00:04
2022-09-18,05:37,06:13,18:50,19:26,12:37,10:09,-00:04
2022-09-19,05:39,06:15,18:47,19:23,12:32,10:13,-00:05
2022-09-20,05:41,06:17,18:44,19:20,12:27,10:18,-00:05
2022-09-21,05:43,06:19,18:42,19:18,12:23,10:23,-00:04
2022-09-22,05:45,06:21,18:39,19:15,12:18,10:27,-00:05
2022-09-23,05:47,06:23,18:37,19:13,12:14,10:32,-00:04
2022-09-24,05:48,06:24,18:34,19:10,12:10,10:35,-00:04
2022-09-25,05:50,06:26,18:32,19:07,12:06,10:40,-00:04
2022-09-26,05:52,06:28,18:29,19:05,12:01,10:45,-00:05
2022-09-27,05:54,06:30,18:27,19:02,11:57,10:49,-00:04
2022-09-28,05:56,06:32,18:24,19:00,11:52,10:54,-00:05
2022-09-29,05:58,06:34,18:22,18:57,11:48,10:58,-00:04
2022-09-30,06:00,06:36,18:19,18:55,11:43,11:03,-00:05
2022-10-01,06:02,06:37,18:16,18:52,11:39,11:07,-00:04
2022-10-02,06:04,06:39,18:14,18:50,11:35,11:12,-00:04
2022-10-03,06:05,06:41,18:11,18:47,11:30,11:15,-00:05
2022-10-04,06:07,06:43,18:09,18:45,11:26,11:20,-00:04
2022-10-05,06:09,06:45,18:06,18:42,11:21,11:24,-00:05
2022-10-06,06:11,06:47,18:04,18:40,11:17,11:29,-00:04
2022-10-07,06:13,06:49,18:01,18:37,11:12,11:33,-00:05
2022-10-08,06:15,06:51,17:59,18:35,11:08,11:38,-00:04
2022-10-09,06:17,06:53,17:56,18:32,11:03,11:42,-00:05
2022-10-10,06:19,06:54,17:54,18:30,11:00,11:47,-00:03
2022-10-11,06:20,06:56,17:52,18:27,10:56,11:50,-00:04
2022-10-12,06:22,06:58,17:49,18:25,10:51,11:55,-00:05
2022-10-13,06:24,07:00,17:47,18:23,10:47,11:59,-00:04
2022-10-14,06:26,07:02,17:44,18:20,10:42,12:03,-00:05
2022-10-15,06:28,07:04,17:42,18:18,10:38,12:08,-00:04
2022-10-16,06:30,07:06,17:40,18:16,10:34,12:12,-00:04
2022-10-17,06:32,07:08,17:37,18:13,10:29,12:16,-00:05
2022-10-18,06:34,07:10,17:35,18:11,10:25,12:21,-00:04
2022-10-19,06:35,07:12,17:32,18:09,10:20,12:24,-00:05
2022-10-20,06:37,07:14,17:30,18:07,10:16,12:28,-00:04
2022-10-21,06:39,07:16,17:28,18:04,10:12,12:32,-00:04
2022-10-22,06:41,07:18,17:25,18:02,10:07,12:37,-00:05
2022-10-23,06:43,07:20,17:23,18:00,10:03,12:41,-00:04
2022-10-24,06:45,07:22,17:21,17:58,09:59,12:45,-00:04
2022-10-25,06:47,07:24,17:19,17:56,09:55,12:49,-00:04
2022-10-26,06:49,07:26,17:16,17:54,09:50,12:53,-00:05
2022-10-27,06:50,07:28,17:14,17:52,09:46,12:56,-00:04
2022-10-28,06:52,07:30,17:12,17:49,09:42,13:00,-00:04
2022-10-29,06:54,07:32,17:10,17:47,09:38,13:05,-00:04
2022-10-30,06:56,07:34,17:08,17:45,09:34,13:09,-00:04
2022-10-31,06:58,07:36,17:06,17:43,09:30,13:13,-00:04
2022-11-01,07:00,07:38,17:04,17:41,09:26,13:17,-00:04
2022-11-02,07:02,07:40,17:02,17:40,09:22,13:21,-00:04
2022-11-03,07:04,07:42,16:59,17:38,09:17,13:24,-00:05
2022-11-04,07:05,07:44,16:57,17:36,09:13,13:27,-00:04
2022-11-05,07:07,07:46,16:55,17:34,09:09,13:31,-00:04
2022-11-06,07:09,07:48,16:53,17:32,09:05,13:35,-00:04
2022-11-07,07:11,07:50,16:51,17:30,09:01,13:39,-00:04
2022-11-08,07:13,07:52,16:50,17:29,08:58,13:43,-00:03
2022-11-09,07:15,07:54,16:48,17:27,08:54,13:46,-00:04
2022-11-10,07:17,07:56,16:46,17:25,08:50,13:50,-00:04
2022-11-11,07:18,07:58,16:44,17:24,08:46,13:53,-00:04
2022-11-12,07:20,08:00,16:42,17:22,08:42,13:56,-00:04
2022-11-13,07:22,08:02,16:41,17:20,08:39,14:00,-00:03
2022-11-14,07:24,08:04,16:39,17:19,08:35,14:04,-00:04
2022-11-15,07:26,08:06,16:37,17:17,08:31,14:07,-00:04
2022-11-16,07:27,08:08,16:36,17:16,08:28,14:10,-00:03
2022-11-17,07:29,08:10,16:34,17:15,08:24,14:13,-00:04
2022-11-18,07:31,08:12,16:33,17:13,08:21,14:16,-00:03
2022-11-19,07:33,08:14,16:31,17:12,08:17,14:20,-00:04
2022-11-20,07:34,08:15,16:30,17:11,08:15,14:22,-00:02
2022-11-21,07:36,08:17,16:28,17:09,08:11,14:25,-00:04
2022-11-22,07:38,08:19,16:27,17:08,08:08,14:29,-00:03
2022-11-23,07:39,08:21,16:25,17:07,08:04,14:31,-00:04
2022-11-24,07:41,08:23,16:24,17:06,08:01,14:34,-00:03
2022-11-25,07:43,08:25,16:23,17:05,07:58,14:37,-00:03
2022-11-26,07:44,08:26,16:22,17:04,07:56,14:39,-00:02
2022-11-27,07:46,08:28,16:21,17:03,07:53,14:42,-00:03
2022-11-28,07:47,08:30,16:20,17:02,07:50,14:44,-00:03
2022-11-29,07:49,08:32,16:19,17:01,07:47,14:47,-00:03
2022-11-30,07:50,08:33,16:18,17:01,07:45,14:49,-00:02
2022-12-01,07:52,08:35,16:17,17:00,07:42,14:51,-00:03
2022-12-02,07:53,08:37,16:16,16:59,07:39,14:53,-00:03
2022-12-03,07:55,08:38,16:15,16:59,07:37,14:56,-00:02
2022-12-04,07:56,08:39,16:15,16:58,07:36,14:57,-00:01
2022-12-05,07:57,08:41,16:14,16:57,07:33,14:59,-00:03
2022-12-06,07:59,08:42,16:13,16:57,07:31,15:02,-00:02
2022-12-07,08:00,08:44,16:13,16:57,07:29,15:03,-00:02
2022-12-08,08:01,08:45,16:12,16:56,07:27,15:04,-00:02
2022-12-09,08:02,08:47,16:12,16:56,07:25,15:06,-00:02
2022-12-10,08:04,08:48,16:11,16:56,07:23,15:08,-00:02
2022-12-11,08:05,08:49,16:11,16:56,07:22,15:09,-00:01
2022-12-12,08:06,08:50,16:11,16:55,07:21,15:10,-00:01
2022-12-13,08:07,08:51,16:11,16:55,07:20,15:12,-00:01
2022-12-14,08:08,08:52,16:11,16:55,07:19,15:13,-00:01
2022-12-15,08:09,08:53,16:11,16:55,07:18,15:14,-00:01
2022-12-16,08:09,08:54,16:11,16:56,07:17,15:14,-00:01
2022-12-17,08:10,08:55,16:11,16:56,07:16,15:14,-00:01
2022-12-18,08:11,08:56,16:11,16:56,07:15,15:15,-00:01
2022-12-19,08:12,08:57,16:11,16:56,07:14,15:16,-00:01
2022-12-20,08:12,08:57,16:12,16:57,07:15,15:16,00:01
2022-12-21,08:13,08:58,16:12,16:57,07:14,15:16,-00:01
2022-12-22,08:14,08:58,16:12,16:57,07:14,15:17,00:00
2022-12-23,08:14,08:59,16:13,16:58,07:14,15:17,00:00
2022-12-24,08:15,08:59,16:14,16:58,07:15,15:17,00:01
2022-12-25,08:15,09:00,16:14,16:59,07:14,15:17,-00:01
2022-12-26,08:15,09:00,16:15,17:00,07:15,15:16,00:01
2022-12-27,08:16,09:00,16:16,17:01,07:16,15:16,00:01
2022-12-28,08:16,09:01,16:17,17:01,07:16,15:15,00:00
2022-12-29,08:16,09:01,16:17,17:02,07:16,15:15,00:00
2022-12-30,08:16,09:01,16:18,17:03,07:17,15:14,00:01
2022-12-31,08:16,09:01,16:19,17:04,07:18,15:13,00:01
